Policy                   , avg_delay         , avg_total_cost    , avg_migrations, avg_failed_allocations, avg_load_ratio
never_migrate            , 78.01730755454126 , 328.8055664042963 ,           0.0 ,                   1.0 , 0.7253305681246858
nearest                  , 34.613848869258796, 264.43762537803536,           1.05,                   3.14, 0.6203989441930619
cost_aware               , 34.57193025896846 , 261.7512494710408 ,           1.02,                   3.08, 0.6217134741075917
llm_cost_aware_openrouter, 57.27705741264082 , 194.07442247167103,           0.42,                   3.2 , 0.5995135620915033
