Policy,avg_qos_score,intent_satisfaction_rate,sla_violation_rate,ar_avg_delay,ar_intent_satisfaction_rate,ar_p95_delay,ar_sla_violated_rate,avg_delay,avg_failed_allocations,avg_load_ratio,avg_migrations,avg_total_cost,background_avg_delay,background_intent_satisfaction_rate,background_p95_delay,background_sla_violated_rate,compute_avg_delay,compute_intent_satisfaction_rate,compute_p95_delay,compute_sla_violated_rate,video_avg_delay,video_intent_satisfaction_rate,video_p95_delay,video_sla_violated_rate
cost_aware,0.41648397507447715,0.43666666666666665,0.5633333333333334,38.11460611419132,0.145,54.271364285855725,0.855,34.57381001061802,3.03,0.6238886123680242,1.07,256.4752938238285,30.551179832257294,0.78,46.80565010185112,0.22,31.80825750811333,0.47,49.3337672313983,0.53,37.0692499060119,0.4375,52.95659932921073,0.5625
llm_cost_aware_openrouter,0.4136266795044266,0.38333333333333336,0.6166666666666667,49.72659612700841,0.1225,95.6647654751298,0.8775,45.73158746487095,2.88,0.6259598541980895,0.82,214.67442168817374,43.73281521640698,0.8166666666666667,94.14983205358813,0.18333333333333332,41.593336611935015,0.43,93.48261316567526,0.57,49.00963697592217,0.2725,99.91351424243551,0.7275
