lambda_delay,lambda_migration,lambda_resource,lambda_balance,migrate_threshold,cooldown_steps,max_candidates,d_max,queue_penalty_coeff,sensitivity_coeff,migration_state_coeff,migration_hops_coeff,migration_norm_factor,resource_tension_max,allocation_failure_penalty,mean_cost_margin_vs_nearest,mean_failed_gap_vs_nearest,mean_delay_gap_vs_nearest
0.24489795918367346,0.1836734693877551,0.3673469387755102,0.20408163265306123,0.03,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-14.633179548249075,-0.1312500000000003,0.03771321422536289
0.23529411764705882,0.21568627450980393,0.3529411764705882,0.19607843137254902,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.98551802430174,-0.125,0.03510204974140407
0.24489795918367346,0.22448979591836735,0.3673469387755102,0.163265306122449,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.940880618833603,-0.125,0.03510204974140407
0.24489795918367346,0.1836734693877551,0.3673469387755102,0.20408163265306123,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.92926660060246,-0.12500000000000022,0.03737634516626542
0.24489795918367346,0.22448979591836735,0.326530612244898,0.20408163265306123,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.928173392778376,-0.125,0.03510204974140407
0.2553191489361702,0.19148936170212766,0.34042553191489366,0.21276595744680854,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.86467303669022,-0.12500000000000022,0.03737634516626542
0.22641509433962262,0.24528301886792453,0.33962264150943394,0.18867924528301888,0.03,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.308601762719121,-0.11875000000000013,0.049947242293946204
0.22641509433962262,0.24528301886792453,0.33962264150943394,0.18867924528301888,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.308601762719121,-0.11875000000000013,0.049947242293946204
0.22641509433962262,0.24528301886792453,0.33962264150943394,0.18867924528301888,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.308601762719121,-0.11875000000000013,0.049947242293946204
0.23529411764705882,0.2549019607843137,0.3529411764705882,0.1568627450980392,0.03,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.286770134850514,-0.11875000000000013,0.03860507086432108
0.23529411764705882,0.2549019607843137,0.3137254901960784,0.19607843137254902,0.03,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.273887493866681,-0.11875000000000013,0.03860507086432108
0.23529411764705882,0.2549019607843137,0.3137254901960784,0.19607843137254902,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.273887493866681,-0.11875000000000013,0.03860507086432108
0.23529411764705882,0.2549019607843137,0.3137254901960784,0.19607843137254902,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.273887493866681,-0.11875000000000013,0.03860507086432108
0.23529411764705882,0.2549019607843137,0.3529411764705882,0.1568627450980392,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.268260329070273,-0.11875000000000013,0.049947242293946204
0.23529411764705882,0.2549019607843137,0.3529411764705882,0.1568627450980392,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-13.268260329070273,-0.11875000000000013,0.049947242293946204
