Policy,step,avg_delay,avg_total_cost,avg_migrations,avg_failed_allocations,avg_load_ratio
never_migrate,1,23.42262441470399,156.59567230802637,0,0,0.5775174172232995
never_migrate,2,25.356667323116817,131.89929114093178,0,0,0.5775174172232995
never_migrate,3,27.70025085865175,143.85156717215995,0,0,0.5775174172232995
never_migrate,4,30.357914012805804,157.40564925834562,0,0,0.5775174172232995
never_migrate,5,33.21399767554474,171.9716759383142,0,0,0.5775174172232995
never_migrate,6,36.20105303467888,187.20565826989827,0,0,0.5775174172232995
never_migrate,7,39.283267348397246,202.924951269862,0,0,0.5775174172232995
never_migrate,8,42.4394746629597,219.02160857413045,0,0,0.5775174172232995
never_migrate,9,45.668804231947455,235.49118937596802,0,0,0.5775174172232995
never_migrate,10,49.120625615113894,253.09547843011688,0,0,0.5775174172232995
never_migrate,11,52.78574618641933,271.7875933437746,0,0,0.5775174172232995
never_migrate,12,56.495562547981436,290.70765678774137,0,0,0.5775174172232995
never_migrate,13,60.228984574519835,309.7481091230872,0,0,0.5775174172232995
never_migrate,14,63.97968559646254,328.87668433499505,0,0,0.5775174172232995
never_migrate,15,67.6355478208987,347.5215816796194,0,0,0.5775174172232995
never_migrate,16,71.18386304047364,365.6179892994516,0,0,0.5775174172232995
never_migrate,17,74.71844013396378,383.6443324762514,0,0,0.5775174172232995
never_migrate,18,78.20724539155013,401.43723928994166,0,0,0.5775174172232995
never_migrate,19,81.51831296132261,418.32368389578136,0,0,0.5775174172232995
never_migrate,20,84.81399438833988,435.13165917356946,0,0,0.5775174172232995
never_migrate,21,88.1093247033714,451.9378437802302,0,0,0.5775174172232995
never_migrate,22,91.23937620522491,467.90110643968313,0,0,0.5775174172232995
never_migrate,23,94.23630837572894,483.18546050925363,0,0,0.5775174172232995
never_migrate,24,97.33864302716647,499.0073672315851,0,0,0.5775174172232995
never_migrate,25,99.84217779761453,511.7753945608701,0,0,0.5775174172232995
never_migrate,26,101.73687224247371,521.4383362296519,0,0,0.5775174172232995
never_migrate,27,102.80774777820706,526.899801461892,0,0,0.5775174172232995
never_migrate,28,102.93030908204624,527.5248641114719,0,0,0.5775174172232995
never_migrate,29,102.61001370348552,525.8913576808122,0,0,0.5775174172232995
never_migrate,30,101.76251220633443,521.5691000453418,0,0,0.5775174172232995
never_migrate,31,100.80403979851897,516.6808907654829,0,0,0.5775174172232995
never_migrate,32,99.59292771149937,510.5042191216829,0,0,0.5775174172232995
never_migrate,33,98.47517363138613,504.80367331310526,0,0,0.5775174172232995
never_migrate,34,97.45320024112718,499.5916090227847,0,0,0.5775174172232995
never_migrate,35,96.52947101763549,494.880589982977,0,0,0.5775174172232995
never_migrate,36,95.70643419917958,490.68310220885195,0,0,0.5775174172232995
never_migrate,37,94.86100195850008,486.3713977813864,0,0,0.5775174172232995
never_migrate,38,93.98942627766333,481.92636180911893,0,0,0.5775174172232995
never_migrate,39,93.21768893438554,477.99050135840224,0,0,0.5775174172232995
never_migrate,40,92.5483807452208,474.57702959366213,0,0,0.5775174172232995
never_migrate,41,91.9841639043087,471.6995237050104,0,0,0.5775174172232995
never_migrate,42,90.8282254429118,465.8042375518863,0,0,0.5775174172232995
never_migrate,43,88.9250924637206,456.0982593580112,0,0,0.5775174172232995
never_migrate,44,86.97504531101333,446.15301887920407,0,0,0.5775174172232995
never_migrate,45,84.82407407653093,435.1830655833437,0,0,0.5775174172232995
never_migrate,46,82.47464685445169,423.2009867507396,0,0,0.5775174172232995
never_migrate,47,80.24310864188179,411.82014186663326,0,0,0.5775174172232995
never_migrate,48,78.18139223591547,401.3053881962049,0,0,0.5775174172232995
never_migrate,49,76.37857377288093,392.1110140347288,0,0,0.5775174172232995
never_migrate,50,74.86609845483731,384.39738991270633,0,0,0.5775174172232995
never_migrate,51,73.59402718022822,377.9098264121999,0,0,0.5775174172232995
never_migrate,52,72.52285002059665,372.44682289807884,0,0,0.5775174172232995
never_migrate,53,71.65868430485949,368.0395777478195,0,0,0.5775174172232995
never_migrate,54,71.05564633380475,364.9640840954402,0,0,0.5775174172232995
never_migrate,55,70.71015782553435,363.20209270326114,0,0,0.5775174172232995
never_migrate,56,70.5562403565797,362.41711361159247,0,0,0.5775174172232995
never_migrate,57,70.56136998988781,362.44327474146394,0,0,0.5775174172232995
never_migrate,58,70.71818558678187,363.2430342856236,0,0,0.5775174172232995
never_migrate,59,70.85901091710129,363.96124347025267,0,0,0.5775174172232995
never_migrate,60,70.79353844045329,363.62733383934784,0,0,0.5775174172232995
never_migrate,61,70.73528180759689,363.3302250117801,0,0,0.5775174172232995
never_migrate,62,70.53483875912329,362.3079654645648,0,0,0.5775174172232995
never_migrate,63,70.31951329645847,361.20980560497424,0,0,0.5775174172232995
never_migrate,64,70.08107526650694,359.9937716522215,0,0,0.5775174172232995
never_migrate,65,69.95728923660779,359.36246289973576,0,0,0.5775174172232995
